Major,researchExp,industryExp,toeflScore,GRE_V,GRE_Q,GRE_AWA,CGPA,University
MIS,0.0,66.0,94.0,146,157,3.0,3.42,Worcester Polytechnic Institute
MIS,0.0,0.0,81.0,140,170,2.5,2.55,Worcester Polytechnic Institute
MIS,0.0,0.0,104.21251509054326,140,157,3.0,2.3,Worcester Polytechnic Institute
MIS,0.0,0.0,104.0,150,161,4.5,2.8,Worcester Polytechnic Institute
MIS,0.0,0.0,95.0,147,156,3.0,2.3,Worcester Polytechnic Institute
MIS,0.0,0.0,101.0,143,169,3.0,2.9,Worcester Polytechnic Institute
Computer Science,0.0,0.0,107.0,146,170,4.5,3.2,Worcester Polytechnic Institute
MIS,0.0,0.0,94.0,140,165,3.5,2.55,Worcester Polytechnic Institute
Computer Science,0.0,0.0,99.0,143,170,3.5,2.95,Worcester Polytechnic Institute
Computer Science,0.0,0.0,99.0,143,170,3.5,2.95,Worcester Polytechnic Institute
MIS,0.0,0.0,91.0,146,161,3.0,2.45,Worcester Polytechnic Institute
MIS,0.0,39.0,101.0,149,159,3.0,3.39,Worcester Polytechnic Institute
Mechanical Engineering,0.0,0.0,96.0,149,165,3.0,3.17,Worcester Polytechnic Institute
MIS,0.0,24.0,98.0,143,159,3.0,2.45,Worcester Polytechnic Institute
Computer Science,0.0,0.0,111.0,156,159,3.5,3.23,Worcester Polytechnic Institute
MIS,0.0,0.0,94.0,148,168,3.0,2.9,Worcester Polytechnic Institute
Electronics and Communication,0.0,0.0,99.0,143,162,3.5,3.58,Worcester Polytechnic Institute
MIS,0.0,0.0,105.0,141,168,3.5,2.9,Worcester Polytechnic Institute
MIS,0.0,0.0,94.0,151,157,4.5,3.1,Worcester Polytechnic Institute
Computer Science,0.0,36.0,109.0,152,163,3.5,3.0,Worcester Polytechnic Institute
Computer Science,0.0,0.0,107.0,151,170,3.0,3.17,Worcester Polytechnic Institute
MIS,0.0,24.0,104.21251509054326,153,161,3.0,3.14,Worcester Polytechnic Institute
MIS,0.0,0.0,101.0,149,160,3.0,3.23,Worcester Polytechnic Institute
Computer Science,0.0,0.0,115.0,149,170,4.0,3.46,Worcester Polytechnic Institute
Computer Science,0.0,0.0,95.0,152,163,3.0,2.8,Worcester Polytechnic Institute
MIS,0.0,26.0,93.0,145,160,3.0,3.23,Worcester Polytechnic Institute
Information Systems,0.0,0.0,104.21251509054326,142,161,3.0,3.52,Worcester Polytechnic Institute
MIS,0.0,0.0,103.0,139,167,3.0,2.6,Worcester Polytechnic Institute
MIS,0.0,0.0,85.0,141,166,3.0,2.9,Worcester Polytechnic Institute
Information Systems,0.0,0.0,96.0,140,156,2.0,3.6,Worcester Polytechnic Institute
